Reward,Throughput,Latancy,PRBs,Penalty
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-7.2,0.0,0.0,0.0,1.0
-9.6,0.0,0.0,0.0,3.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-8.39952,0.0024,0.0,0.01,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.005,3.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-8.39952,0.0024,0.0,0.005,2.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-9.6,0.0,0.0,0.0,3.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-9.6,0.0,0.0,0.0,3.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.0,2.0
-8.39952,0.0024,0.0,0.005,2.0
-8.4,0.0,0.0,0.0,2.0
-7.2,0.0,0.0,0.0,1.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-8.4,0.0,0.0,0.005,2.0
-7.18528,0.0736,0.4445,0.005,1.0
-9.6,0.0,0.0,0.0,3.0
-9.58528,0.0736,0.0,0.005,3.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.0,1.0
-6.0,0.0,0.0,0.0,0.0
-7.2,0.0,0.0,0.0,1.0
-7.2,0.0,0.0,0.005,1.0
-8.4,0.0,0.0,0.0,2.0
-8.4,0.0,0.0,0.005,2.0
-8.4,0.0,0.0,0.0,2.0
-9.6,0.0,0.0,0.0,3.0
-7.2,0.0,0.0,0.0,1.0
-1.2,32.5224,2.1429099999999996,0.803,1.0
-1.2,32.284800000000004,2.94243,0.5489999999999999,1.0
-2.4,32.5104,1.6129600000000002,0.425,2.0
0.0,32.4904,1.3778,0.41200000000000003,0.0
-1.2,32.4904,1.5296,0.394,1.0
-2.4,32.6904,2.23982,0.374,2.0
-2.4,32.4904,1.58625,0.395,2.0
0.0,32.486399999999996,1.3706,0.379,0.0
-2.4,32.5024,2.90768,0.333,2.0
-3.6000001,32.486399999999996,1.4984,0.285,3.0
-1.2,32.4944,1.53773,0.23199999999999998,1.0
-2.4,32.4904,1.44495,0.18,2.0
0.0,32.5064,1.5663,0.196,0.0
0.0,32.486399999999996,1.3933,0.19,0.0
0.0,32.4944,1.069,0.2,0.0
-0.31552,30.08,1.9804,0.199,0.0
-1.2,32.486399999999996,1.2439500000000001,0.201,1.0
-1.27488,31.2832,1.5872,0.174,1.0
-1.2,32.490399999999994,1.14345,0.2,1.0
0.0,32.486399999999996,1.1372499999999999,0.201,0.0
0.0,32.486399999999996,1.484,0.201,0.0
0.0,32.4944,1.84555,0.20500000000000002,0.0
-3.6000001,32.9184,1.26983,0.21100000000000002,3.0
0.0,32.486399999999996,1.4704,0.199,0.0
-1.2,32.486399999999996,1.27955,0.192,1.0
-0.07488,31.9856,1.9266299999999998,0.201,0.0
-2.4,32.4944,1.6997999999999998,0.201,2.0
-2.62464,28.876800000000003,1.226,0.17400000000000002,2.0
0.0,37.372,1.18625,0.20600000000000002,0.0
-0.14976,30.08,1.27225,0.16,0.0
-1.5155201,30.08,0.62466,0.16799999999999998,1.0
0.0,32.486399999999996,1.0899999999999999,0.192,0.0
-1.2,33.6896,1.5835,0.199,1.0
-1.42464,28.876800000000003,1.0113400000000001,0.17400000000000002,1.0
-1.2,32.490399999999994,0.7183299999999999,0.192,1.0
-1.34976,31.2832,1.31917,0.186,1.0
-1.3296001,31.0096,0.735,0.185,1.0
-1.27488,32.4864,0.95183,0.182,1.0
-0.04496,32.635999999999996,1.151,0.203,0.0
-1.34976,30.08,1.09191,0.18,1.0
-1.21936,32.763999999999996,1.3871,0.193,1.0
0.0,33.6896,1.4571,0.199,0.0
-1.5604799,29.026400000000002,1.25767,0.175,1.0
0.0,34.8928,1.39485,0.20400000000000001,0.0
-0.07488,32.4864,1.0771499999999998,0.192,0.0
-1.34976,30.08,1.64383,0.199,1.0
-0.31552,29.2952,1.4584000000000001,0.176,0.0
-2.4,33.6896,1.2647,0.198,2.0
-1.2,33.6896,1.3251499999999998,0.198,1.0
-1.27488,31.2832,1.28635,0.176,1.0
-0.08864,32.0752,1.26148,0.202,0.0
0.0,33.6896,2.3465,0.188,0.0
-0.14976,29.806400000000004,0.96775,0.169,0.0
-0.01936,33.9672,1.5484,0.199,0.0
-0.0744,32.4912,2.7155,0.177,0.0
-0.07488,31.214399999999998,1.1163299999999998,0.187,0.0
-0.31552,31.0096,1.28007,0.185,0.0
-1.21936,32.763999999999996,1.5197999999999998,0.22200000000000003,1.0
-2.4,33.6896,1.3765,0.20800000000000002,2.0
-1.27488,31.2832,1.25458,0.186,1.0
-1.2,33.6896,1.44115,0.188,1.0
0.0,33.6896,1.22025,0.20800000000000002,0.0
-0.07968,31.706399999999995,1.285,0.187,0.0
-0.14976,30.08,1.01,0.199,0.0
-0.07488,30.8712,1.64365,0.21000000000000002,0.0
-1.27488,31.2832,1.1964,0.188,1.0
-0.07488,31.2832,1.2298499999999999,0.187,0.0
0.0,33.6896,1.6018,0.179,0.0
-0.14976,31.0096,0.8438699999999999,0.185,0.0
-0.33488,29.154399999999995,1.19153,0.183,0.0
-0.3896,29.9384,2.19037,0.195,0.0
0.0,35.8224,1.3906,0.21900000000000003,0.0
-1.2,33.6896,1.3944,0.188,1.0
-0.3904,28.876800000000003,1.05842,0.171,0.0
-1.2,34.8928,1.2015,0.21200000000000002,1.0
-1.42496,29.704,1.22963,0.175,1.0
-0.07488,34.6192,1.2690000000000001,0.21300000000000002,0.0
-1.2,33.6896,1.3494,0.198,1.0
-0.31472,30.083999999999996,1.02675,0.176,0.0
-1.27488,33.416000000000004,1.08427,0.196,1.0
-2.54976,30.08,0.5940000000000001,0.20600000000000002,2.0
-0.33392,29.1616,1.46187,0.177,0.0
-0.33488,29.154400000000003,2.2920499999999997,0.191,0.0
-0.01936,33.967200000000005,1.7417500000000001,0.188,0.0
-0.63104,27.6736,0.86093,0.174,0.0
-0.14976,30.08,1.34308,0.197,0.0
-1.27488,32.4864,1.0240799999999999,0.20700000000000002,1.0
-0.07488,31.2832,1.1637499999999998,0.202,0.0
